date,open_share_paid,ratio_g,ratio_w,front_open,front_closed,frontier_gap,mean_q_closed,mean_q_open,n_models_closed,n_models_open,n_scored_closed,n_scored_open,unweighted_gap,cover_open,cover_closed,y,trend,log_ratio_g,frontier_rel,unweighted_rel,frontier_rel_lag1,frontier_rel_lag2,frontier_rel_lag4
2025-12-29,0.3150074029127918,4.55892257932371,7.681978956161937,22.2,30.4,8.2,16.9375,13.5625,26,23,24,16,3.375,0.6956521739130435,0.9230769230769231,-0.7768118911719368,1.0,1.5170863191445145,0.31435031953394227,0.22222146733924136,0.31435031953394227,0.3463896732785589,0.30268523904382977
2026-01-05,0.2651067276694954,4.4742302105441345,8.826485098644063,22.2,30.4,8.2,16.9375,13.5625,27,23,24,16,3.375,0.6956521739130435,0.8888888888888888,-1.0195927901271005,1.0192307692307692,1.4983343169395458,0.31435031953394227,0.22222146733924136,0.31435031953394227,0.31435031953394227,0.30268523904382977
2026-01-12,0.2303618774343964,4.968345901595374,10.857133516747458,22.2,30.4,8.2,16.616,12.927777777777777,29,24,25,18,3.6882222222222225,0.75,0.8620689655172413,-1.2062689810758869,1.0384615384615385,1.6030869681324,0.31435031953394227,0.25098777416172996,0.31435031953394227,0.31435031953394227,0.3463896732785589
2026-01-19,0.2580560921438558,5.213780621355339,9.399403284581428,22.2,30.4,8.2,17.0,13.9125,26,22,23,16,3.0875000000000004,0.7272727272727273,0.8846153846153846,-1.0560966717271851,1.0576923076923077,1.651305239703876,0.31435031953394227,0.20042562745455283,0.31435031953394227,0.31435031953394227,0.31435031953394227
2026-01-26,0.3221747218201541,5.289182893293223,6.3698696861302775,22.2,30.4,8.2,,,29,27,23,16,,0.5925925925925926,0.7931034482758621,-0.7437955401991639,1.0769230769230769,1.6656637714241862,0.31435031953394227,,0.31435031953394227,0.31435031953394227,0.31435031953394227
2026-02-02,0.4017225845399924,6.945545092536613,4.896577349050088,23.5,30.4,6.899999999999999,,,28,29,25,17,,0.5862068965517241,0.8928571428571429,-0.3982927896417058,1.0961538461538463,1.9381004601726686,0.25744218726206264,,0.31435031953394227,0.31435031953394227,0.31435031953394227
2026-02-09,0.5056254601022091,6.290597264226707,5.037018308033894,23.5,32.5,9.0,17.620833333333334,15.394117647058822,27,24,24,17,2.2267156862745114,0.7083333333333334,0.8888888888888888,0.022502789932649443,1.1153846153846154,1.8390560207714937,0.3242396681855786,0.13509644865061335,0.25744218726206264,0.31435031953394227,0.31435031953394227
2026-02-16,0.5236076270510316,6.039896605344575,5.723854195127378,27.9,32.5,4.600000000000001,18.6,15.788235294117646,28,26,25,17,2.8117647058823554,0.6538461538461539,0.8928571428571429,0.0945007728999485,1.1346153846153846,1.7983868934797689,0.15261340050837185,0.16389651967784508,0.3242396681855786,0.25744218726206264,0.31435031953394227
2026-02-23,0.4505426026387328,7.012514325332754,6.746286320697689,27.9,32.5,4.600000000000001,19.134615384615383,16.03125,31,25,26,16,3.1033653846153832,0.64,0.8387096774193549,-0.198478600980535,1.1538461538461537,1.9476963136749283,0.15261340050837185,0.1769590762061223,0.15261340050837185,0.3242396681855786,0.31435031953394227
2026-03-02,0.4270500382380758,5.513509859614739,6.6731398153945785,27.9,32.5,4.600000000000001,19.807692307692307,16.77857142857143,32,22,26,14,3.029120879120878,0.6363636363636364,0.8125,-0.2938971942013186,1.1730769230769231,1.707201418482838,0.15261340050837185,0.16596780059264551,0.15261340050837185,0.15261340050837185,0.25744218726206264
2026-03-09,0.4105879775223631,6.420390552846807,7.112780118391534,27.9,39.0,11.100000000000001,19.807692307692307,16.9,33,25,26,15,2.907692307692308,0.6,0.7878787878787878,-0.3615352440307107,1.1923076923076923,1.859478949628332,0.33493495730232653,0.15875674071322635,0.15261340050837185,0.15261340050837185,0.3242396681855786
2026-03-16,0.3306464369931536,5.241565140277754,6.929709872482059,27.9,39.0,11.100000000000001,20.217857142857145,17.68125,32,22,28,16,2.5366071428571466,0.7272727272727273,0.875,-0.7052627770054308,1.2115384615384615,1.656620144626408,0.33493495730232653,0.1340614747996702,0.33493495730232653,0.15261340050837185,0.15261340050837185
2026-03-23,0.2995810646646993,5.819006744610297,5.9561228575558625,27.9,39.0,11.100000000000001,20.351724137931036,17.392857142857142,34,20,29,14,2.958866995073894,0.7,0.8529411764705882,-0.8492935874846794,1.2307692307692308,1.7611295847407622,0.33493495730232653,0.15710601961497933,0.33493495730232653,0.33493495730232653,0.15261340050837185
