quarter,creator,label,total_tokens,spend_usd,spend_share,token_share,price_per_mtok,price_vs_average
2025Q4,mistralai,open,1075989977987,43740.02692717998,0.0004242632622018311,0.017508232629207993,0.04065096127476053,0.024232215277632117
2025Q4,qwen,closed,18407134760,36814.26952000001,0.0003570857902793621,0.00029951617023253943,2.0000000000000004,1.1922087211589498
2025Q4,mistralai,closed,7146885180,3216.0983309999992,3.119505097112876e-05,0.00011629228047251462,0.44999999999999984,0.26824696226076356
2025Q4,microsoft,open,36934012366,2954.72098928,2.8659780385941697e-05,0.0006009807653076351,0.08,0.04768834884635798
2025Q4,alibaba,open,10280788434,1722.0320626949988,1.670312050222214e-05,0.00016728634949824566,0.16749999999999987,0.09984748039706194
2026Q1,anthropic,closed,23756970373650,169289107.0407736,0.6204648786725286,0.1755306311315941,7.125871033982527,3.5347954637465544
2026Q1,google,closed,28981136479825,36243316.36032172,0.13283610080582967,0.21412987839799932,1.2505829916488003,0.6203529456030867
2026Q1,openai,closed,11200800925858,24757683.397179138,0.09073987862399108,0.08275818106318288,2.2103493813575352,1.0964460245291574
2026Q1,xiaomi,closed,7791991358004,11032317.5586428,0.040434766862178805,0.05757186793310092,1.4158534130444473,0.7023355036728076
2026Q1,minimax,open,15767371987462,7835918.24784772,0.028719580071786238,0.11649872490961909,0.4969704687679555,0.24652269880264507
2026Q1,moonshotai,open,7355052241516,7180768.4448393425,0.026318377477351038,0.05434350178721023,0.976304206829028,0.4842966796730253
2026Q1,z-ai,open,5139147399430,4416801.6547300555,0.01618810773313761,0.03797107847980382,0.8594424933637704,0.4263273096587918
2026Q1,z-ai,closed,2274047835354,3769051.9343482195,0.013814027328956138,0.01680201833335854,1.6574198113829444,0.8221647575237981
2026Q1,x-ai,closed,10178483659775,3469477.8346966254,0.012716052328420574,0.07520469288224424,0.3408639194861487,0.16908588867361524
2026Q1,deepseek,open,11538454464480,3389723.3440724164,0.012423742556021453,0.0852529662906744,0.2937762032607874,0.14572797987652483
2026Q1,qwen,open,2456904087798,678682.5566154608,0.00248745295848333,0.018153069115214696,0.2762348599548833,0.1370265789600565
2026Q1,openai,open,4891819437857,353550.92838101945,0.0012958065507998361,0.03614367235399783,0.07227391216547079,0.03585154651991271
2026Q1,xiaomi,open,1273728963232,178322.05485247987,0.0006535717156451858,0.009411067374764485,0.1399999999999999,0.06944714022531813
2026Q1,qwen,closed,330639283805,90623.49143041873,0.00033214596377847814,0.002442959739831216,0.2740856754452246,0.13596047383139687
2026Q1,meta-llama,open,968910682527,82439.28148339999,0.00030214985286164023,0.007158888567826166,0.08508450053248609,0.04220625171057658
2026Q1,mistralai,open,1180223106054,40486.450945524986,0.00014838769790277256,0.008720190471404803,0.034304065678640056,0.017016566139164576
2026Q1,stepfun,open,110463050913,16569.45763695,6.072904927015559e-05,0.000816166739214622,0.15,0.07440765024141233
2026Q1,mistralai,closed,14805636051,8626.682018849999,3.161782412192107e-05,0.00010939284763427638,0.5826620341830796,0.2890300856562962
2026Q1,google,open,122475456585,8000.1593364314995,2.9321543357448996e-05,0.0009049215389997659,0.06532051040674632,0.03240230461290476
2026Q1,nvidia,open,10303723905,901.5758416875,3.304383577922624e-06,7.613004232460422e-05,0.0875,0.04340446264082386
2026Q2,anthropic,closed,59358402149251,481069737.852528,0.658877949356331,0.18331741600255655,8.104492716008837,3.594191777976744
2026Q2,openai,closed,22825128373151,101424023.2819347,0.13891136194469053,0.07049117566830387,4.4435247690102315,1.9706205865871456
2026Q2,google,closed,42622406184593,55472235.69176976,0.07597533168883004,0.13163139644367206,1.3014806215192438,0.5771824484240091
2026Q2,z-ai,open,13610882155259,17222858.843956467,0.023588600621222706,0.042034685164598413,1.2653741798287383,0.5611699131052138
2026Q2,moonshotai,open,13177089126936,16644976.60810225,0.022797127301307087,0.04069499585099212,1.2631755350335572,0.5601948550328039
2026Q2,deepseek,open,57216951536102,15128897.732013788,0.020720690430846875,0.17670394295265038,0.2644128588792074,0.1172621848987218
2026Q2,minimax,open,23596205940221,11498881.9231449,0.015748984284966246,0.07287250572461831,0.4873191034302865,0.21611695835574668
2026Q2,xiaomi,open,22332827322078,7078645.423814331,0.009694983937013103,0.06897079517775215,0.3169614541736261,0.14056650952083566
2026Q2,xiaomi,closed,4130172137446,6030241.7777159,0.008259079763280207,0.012755270635126256,1.4600461135851974,0.6475032948760681
2026Q2,qwen,closed,4572398151406,3858761.2643233985,0.0052849982213440195,0.014121003660830363,0.8439250337674202,0.3742650556775823
2026Q2,z-ai,closed,1558335777985,2960837.9781715,0.0040551934614353365,0.0048126310301657696,1.9,0.842614660466846
2026Q2,tencent,open,24868118130111,2686905.6480218596,0.003680012988107112,0.0768005706251276,0.10804619931286559,0.047916479762496536
2026Q2,stepfun,open,8401628431272,2559961.9820889723,0.00350614966702813,0.025946871183658203,0.30469830974200746,0.13512803305688606
2026Q2,minimax,closed,4841971273684,2542034.9186841,0.003481596580760616,0.014953530252019405,0.5249999999999999,0.2328277351289969
2026Q2,x-ai,closed,4827723591879,1637388.0721280626,0.0022425831649276855,0.014909528929242015,0.3391635914869712,0.15041274446500544
2026Q2,qwen,open,2809703108924,897602.4178560473,0.0012293652954648625,0.008677246944201928,0.3194652185866683,0.14167688246861698
2026Q2,google,open,4689400514444,744069.8747669924,0.0010190855809237881,0.014482343758975,0.15867057473021437,0.07036744865914679
2026Q2,openai,open,5408671443314,400129.82118932274,0.0005480218257718682,0.016703678621639777,0.0739793173578603,0.03280845125108553
2026Q2,mistralai,closed,28013441883,84040.325649,0.00011510247490110422,8.651431968160133e-05,3.0,1.3304442007371253
2026Q2,arcee-ai,open,193732149160,73133.8863079,0.00010016490593257754,0.0005983058117254457,0.37749999999999995,0.16741422859275493
2026Q2,nvidia,open,53550916917,49534.598148225,6.78430836156594e-05,0.0001653820749606533,0.9249999999999999,0.41022029522728026
2026Q2,mistralai,open,2003299742511,47518.083865908746,6.508124538174499e-05,0.006186819708392998,0.023719907139980987,0.010519337632136945
2026Q2,meta-llama,open,484555837362,17671.146256815,2.4202579568692957e-05,0.0014964608344882433,0.036468751161929165,0.016173212830504654
2026Q2,inclusionai,closed,178250969156,2673.76453734,3.6620147908042035e-06,0.0005504950585338769,0.015000000000000001,0.006652221003685627
2026Q2,bytedance-seed,closed,11797232989,2064.5157730749997,2.8275815582364595e-06,3.6433566087002315e-05,0.175,0.07760924504299897
2026Q3,anthropic,closed,62607646871047,525640912.46494603,0.4444256606425087,0.07715969870607622,8.395794103995138,5.759815915500857
2026Q3,openai,closed,101710111441468,236686517.1591941,0.2001167703259099,0.12535084684382844,2.327069686629949,1.5964532778564355
2026Q3,moonshotai,open,16684811837693,84196648.55099697,0.0711876687464988,0.02056290435281195,5.046304949078694,3.461946207845098
2026Q3,z-ai,open,96195570143361,76716287.43439098,0.0648630765158401,0.11855454692952956,0.7975033291040337,0.5471158904971869
2026Q3,google,closed,57962794366890,73251565.6279616,0.06193367882009363,0.07143523152568362,1.2637687059098206,0.8669906640930558
2026Q3,tencent,open,105998205648373,73210768.6986746,0.061899185305946236,0.13063563350430699,0.6906793209456404,0.47383078908485915
2026Q3,deepseek,open,204645786494736,51248042.016341135,0.0433298557810915,0.25221211811274974,0.25042314769407364,0.17179926208668997
2026Q3,xiaomi,open,86647068186989,16638499.954298947,0.01406773361611724,0.10678666279924838,0.19202611585647855,0.13173680352352257
2026Q3,minimax,open,27120798356121,14148948.643873625,0.011962835653265114,0.033424553299962544,0.5217010376348413,0.3579056254217321
2026Q3,x-ai,closed,4450531480538,13164909.35429875,0.011130837418354769,0.0054849796355950576,2.958053304839744,2.0293306735581345
2026Q3,qwen,closed,4526208233038,8231784.29129018,0.006959915191470633,0.005578246124814518,1.8186932344836,1.2476887960374925
2026Q3,stepfun,open,10363862799180,4534189.97464125,0.003833625441195012,0.012772761331581851,0.4375,0.30014069328266657
2026Q3,meta,closed,6180787213081,1608196.4946095003,0.001359718721680473,0.007617403032412087,0.2601928264422237,0.1785016121498184
2026Q3,google,open,8271735645430,1301260.0999182214,0.0011002061785144227,0.010194355834715885,0.15731403368011967,0.10792307001564315
2026Q3,qwen,open,1738124268278,943513.8308085524,0.000797734247161362,0.0021421208359784323,0.5428345073067264,0.3724039436818185
2026Q3,upstage,closed,6350483396286,608183.1945016796,0.0005142145742434111,0.00782654212359432,0.09576959052556028,0.06570137439026001
2026Q3,openai,open,7442922594460,536112.2164791368,0.000453279073864231,0.009172899694889566,0.07202979873499987,0.04941502566704869
2026Q3,mistralai,open,1811992368914,39868.94275380375,3.3708908120159356e-05,0.002233158283860852,0.022002820452107538,0.01509472407924478
2026Q3,nvidia,open,23423612244,21666.8413257,1.8319160555929502e-05,2.886802097957165e-05,0.925,0.6345831800833521
2026Q3,inclusionai,closed,600914791891,9013.721878365,7.621037871376398e-06,0.0007405869188125687,0.015,0.01029053805540571
2026Q3,poolside,open,28823415309,3602.926913625,3.046249132940634e-06,3.5522913766481775e-05,0.125,0.08575448379504759
2026Q3,nex-agi,open,29557756433,1293.15184394375,1.0933507056380542e-06,3.642793963324254e-05,0.04375,0.030014069328266654
2026Q3,meta-llama,open,11303852484,254.33668089,2.1503985848456795e-07,1.3931235168123247e-05,0.0225,0.015435807083108564
